City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,purnia,25.7833,87.4667,300.41,89,100,6.31,IN,1691006353
177,bodden town,19.2833,-81.25,305.36,74,40,3.6,KY,1691006501
178,bhind,26.5642,78.7883,301.57,77,100,5.02,IN,1691006501
179,lazaro cardenas,17.9583,-102.2,304.01,64,100,3.27,MX,1691006501
180,taishan,22.2514,112.7799,298.82,88,37,0.73,CN,1691006502
181,rockport,28.0206,-97.0544,308.2,70,0,5.66,US,1691006502
182,lycksele,64.5954,18.6735,289.08,94,75,4.63,SE,1691006502
183,aasiaat,68.7098,-52.8699,276.55,81,42,1.65,GL,1691006503
184,argenta,44.6124,11.8356,300.34,53,0,4.62,IT,1691006503
185,spring creek,40.7266,-115.5859,299.98,49,100,2.92,US,1691006503
186,lihue,21.9789,-159.3672,300.02,75,36,6.63,US,1691006499
187,urangan,-25.3,152.9,292.57,66,61,8.22,AU,1691006504
188,swakopmund,-22.6833,14.5333,294.62,39,0,2.1,NA,1691006504
189,college,64.8569,-147.8028,297.85,55,40,0.51,US,1691006505
190,namibe,-15.1961,12.1522,292.28,82,97,1.11,AO,1691006505
191,bumba,2.1833,22.4667,294.32,98,100,1.62,CD,1691006505
192,bella vista,36.4295,-94.2316,312.35,47,0,6.17,US,1691006506
193,mogocha,53.7333,119.7667,282.98,74,99,1.48,RU,1691006507
194,estella-lizarra,42.6718,-2.0323,293.64,82,64,4.15,ES,1691006507
195,port saint john's,-31.6229,29.5448,288.73,80,0,5.37,ZA,1691006508
196,sandpoint,48.2766,-116.5533,306.96,20,0,0.89,US,1691006508
197,khandyga,62.6667,135.6,284.87,81,93,0.81,RU,1691006509
198,gore,-46.1028,168.9436,277.25,98,100,1.45,NZ,1691006509
199,salavan,15.7167,106.4167,295.84,99,100,2.14,LA,1691006510
200,hanceville,34.0607,-86.7675,306.77,36,59,0.2,US,1691006510
201,kingston,17.997,-76.7936,306.62,68,40,10.8,JM,1691006294
202,talcahuano,-36.7167,-73.1167,288.97,51,0,7.2,CL,1691006410
203,camacupa,-12.0167,17.4833,290.44,23,60,0.73,AO,1691006511
204,utrik,11.2278,169.8474,301.15,78,17,4.89,MH,1691006511
205,kalaleh,37.3807,55.4916,302.01,63,0,0.77,IR,1691006512
206,georgetown,5.4112,100.3354,300.38,92,20,0.51,MY,1691006512
207,masuda,34.6667,131.85,298.58,86,100,2.61,JP,1691006513
208,kolonia town,6.964,158.206,301.84,73,100,3.9,FM,1691006513
209,okoneshnikovo,54.8377,75.0834,291.08,88,58,2.27,RU,1691006513
210,rio grande,-32.035,-52.0986,304.21,76,0,3.77,BR,1691006514
211,zaokskiy,54.7306,37.4089,292.15,81,10,1.72,RU,1691006514
212,east london,-33.0153,27.9116,289.24,63,0,4.82,ZA,1691006514
213,iskateley,67.6803,53.1512,292.55,68,9,3.88,RU,1691006515
214,tayshet,55.9342,98.0044,290.17,90,100,0.19,RU,1691006515
215,calvinia,-31.4707,19.776,284.86,25,25,4.7,ZA,1691006515
216,tobelo,1.7284,128.0095,299.03,83,99,1.98,ID,1691006516
217,hermanus,-34.4187,19.2345,285.26,63,4,3.66,ZA,1691006516
218,sitka,57.0531,-135.33,290.47,81,99,1.8,US,1691006516
219,babruysk,53.15,29.2333,290.09,95,100,0.2,BY,1691006517
220,sai buri,6.7013,101.6168,298.36,86,100,1.53,TH,1691006517
221,tolanaro,-25.0319,46.9987,293.19,73,75,4.12,MG,1691006518
222,la foa,-21.7108,165.8276,289.46,73,22,2.12,NC,1691006518
223,banos,-1.4,-78.4167,295.71,82,98,1.92,EC,1691006518
224,howard springs,-12.497,131.047,295.83,85,0,2.45,AU,1691006519
225,san patricio,28.017,-97.5169,311.03,37,3,7.41,US,1691006519
226,dali,25.7,100.1833,290.1,93,99,1.61,CN,1691006519
227,barra de santo antonio,-9.4047,-35.5072,296.75,85,36,6.92,BR,1691006520
228,broken hill,-31.95,141.4333,283.85,49,29,4.71,AU,1691006279
229,grants,35.1473,-107.8514,303.28,21,0,0.0,US,1691006521
230,mirny,62.5353,113.9611,287.17,58,51,0.89,RU,1691006521
231,palmer,42.1584,-72.3287,298.44,43,75,3.6,US,1691006232
232,dadukou,26.5479,101.7054,294.51,95,95,0.39,CN,1691006522
233,koksovyy,48.1967,40.5989,295.46,78,100,1.61,RU,1691006523
234,kandi,11.1342,2.9386,298.99,78,98,2.18,BJ,1691006523
235,las cruces,32.3123,-106.7783,311.12,25,48,4.02,US,1691006524
236,mildura,-34.2,142.15,282.44,64,82,5.01,AU,1691006524
237,port alfred,-33.5906,26.891,289.31,69,0,4.71,ZA,1691006525
238,shukat as sufi,31.26,34.2826,300.86,59,0,2.16,PS,1691006525
239,rediu,47.2167,27.5,295.03,75,0,2.24,RO,1691006526
240,asau,46.4333,26.4,291.66,79,0,2.38,RO,1691006526
241,orkney,-26.9802,26.6727,282.12,54,0,3.44,ZA,1691006478
242,ixtlahuacan del rio,20.8667,-103.25,302.62,30,100,0.95,MX,1691006527
243,ubajara,-3.8544,-40.9211,303.11,28,10,2.05,BR,1691006528
244,beberibe,-4.1797,-38.1306,299.55,79,82,5.53,BR,1691006528
245,portland,45.5234,-122.6762,304.14,37,0,1.79,US,1691006383
246,severo-yeniseyskiy,60.3725,93.0408,286.11,78,94,1.31,RU,1691006529
247,crane,31.3974,-102.3501,310.19,24,70,5.93,US,1691006530
248,malindi,-3.2175,40.1191,297.14,86,85,7.43,KE,1691006530
249,kirensk,57.7853,108.1119,284.1,69,0,2.2,RU,1691006530
250,gandajika,-6.75,23.95,298.17,26,2,2.05,CD,1691006531
251,happy valley-goose bay,53.3168,-60.3315,288.32,82,75,1.54,CA,1691006532
252,cestos city,5.46,-9.5828,297.94,90,100,5.24,LR,1691006532
253,namtsy,62.7161,129.6658,284.63,77,7,1.52,RU,1691006533
254,akcakale,36.7111,38.9475,303.38,34,0,5.7,TR,1691006533
255,lengshuitan,26.4111,111.5956,297.84,92,46,0.71,CN,1691006533
256,amga,60.8953,131.9608,282.48,96,83,0.06,RU,1691006534
257,huarmey,-10.0681,-78.1522,295.66,69,4,4.87,PE,1691006534
258,anadyr,64.75,177.4833,285.43,87,75,8.0,RU,1691006479
259,ilulissat,69.2167,-51.1,281.16,81,75,2.06,GL,1691006535
260,togur,58.3631,82.8265,289.94,94,32,2.5,RU,1691006535
261,vernon,50.2581,-119.2691,305.24,17,4,1.03,CA,1691006496
262,narvik,68.4384,17.4272,290.82,93,100,3.68,NO,1691006536
263,buta,2.7858,24.73,294.96,99,100,0.22,CD,1691006536
264,de aar,-30.6497,24.0123,283.66,40,0,4.13,ZA,1691006537
265,carnarvon,-24.8667,113.6333,289.79,72,19,7.54,AU,1691006537
266,waddan,29.1614,16.139,305.93,23,0,5.21,LY,1691006538
267,obidos,-1.9175,-55.5181,307.14,40,32,2.93,BR,1691006538
268,vorgashor,67.5833,63.95,291.17,80,5,3.77,RU,1691006539
269,cozumel,20.5083,-86.9458,306.45,75,75,4.92,MX,1691006279
270,sulak,43.2734,47.5146,298.03,72,100,14.48,RU,1691006544
